A,B
1.47632e+07,3.71759e+07
1.47926e+07,3.71642e+07
1.48219e+07,3.71525e+07
1.48512e+07,3.71408e+07
1.48805e+07,3.71291e+07
1.49098e+07,3.71174e+07
1.49391e+07,3.71056e+07
1.49684e+07,3.70938e+07
1.49976e+07,3.70819e+07
1.50269e+07,3.70701e+07
1.50562e+07,3.70582e+07
1.50854e+07,3.70463e+07
1.51146e+07,3.70344e+07
1.51438e+07,3.70225e+07
1.51731e+07,3.70105e+07
1.52023e+07,3.69985e+07
1.52315e+07,3.69865e+07
1.52606e+07,3.69745e+07
1.52898e+07,3.69624e+07
1.5319e+07,3.69504e+07
1.53481e+07,3.69383e+07
1.53773e+07,3.69261e+07
1.54064e+07,3.6914e+07
1.54355e+07,3.69018e+07
1.54647e+07,3.68896e+07
1.54938e+07,3.68774e+07
1.55229e+07,3.68652e+07
1.5552e+07,3.68529e+07
1.5581e+07,3.68406e+07
1.56101e+07,3.68283e+07
1.56392e+07,3.6816e+07
1.56682e+07,3.68036e+07
1.56973e+07,3.67913e+07
1.57263e+07,3.67789e+07
1.57553e+07,3.67664e+07
1.57843e+07,3.6754e+07
1.58133e+07,3.67415e+07
1.58423e+07,3.6729e+07
1.58713e+07,3.67165e+07
1.59003e+07,3.6704e+07
1.59292e+07,3.66914e+07
1.59582e+07,3.66788e+07
1.59871e+07,3.66662e+07
1.6016e+07,3.66536e+07
1.6045e+07,3.66409e+07
1.60739e+07,3.66283e+07
1.61028e+07,3.66156e+07
1.61317e+07,3.66029e+07
1.61606e+07,3.65901e+07
1.61894e+07,3.65773e+07
1.62183e+07,3.65646e+07
1.62471e+07,3.65518e+07
1.6276e+07,3.65389e+07
1.63048e+07,3.65261e+07
1.63336e+07,3.65132e+07
1.63624e+07,3.65003e+07
1.63912e+07,3.64874e+07
1.642e+07,3.64744e+07
1.64488e+07,3.64614e+07
1.64776e+07,3.64484e+07
1.65063e+07,3.64354e+07
1.65351e+07,3.64224e+07
1.65638e+07,3.64093e+07
1.65926e+07,3.63962e+07
1.66213e+07,3.63831e+07
1.665e+07,3.637e+07
1.66787e+07,3.63569e+07
1.67074e+07,3.63437e+07
1.6736e+07,3.63305e+07
1.67647e+07,3.63173e+07
1.67934e+07,3.6304e+07
1.6822e+07,3.62908e+07
1.68506e+07,3.62775e+07
1.68793e+07,3.62642e+07
1.69079e+07,3.62508e+07
1.69365e+07,3.62375e+07
1.69651e+07,3.62241e+07
1.69937e+07,3.62107e+07
1.70222e+07,3.61973e+07
1.70508e+07,3.61838e+07
1.70793e+07,3.61704e+07
1.71079e+07,3.61569e+07
1.71364e+07,3.61434e+07
1.71649e+07,3.61298e+07
1.71934e+07,3.61163e+07
1.72219e+07,3.61027e+07
1.72504e+07,3.60891e+07
1.72789e+07,3.60755e+07
1.73074e+07,3.60618e+07
1.73358e+07,3.60482e+07
1.73643e+07,3.60345e+07
1.73927e+07,3.60207e+07
1.74211e+07,3.6007e+07
1.74495e+07,3.59932e+07
1.74779e+07,3.59795e+07
1.75063e+07,3.59657e+07
1.75347e+07,3.59518e+07
1.75631e+07,3.5938e+07
1.75914e+07,3.59241e+07
1.76198e+07,3.59102e+07
1.76481e+07,3.58963e+07
1.76764e+07,3.58824e+07
1.77047e+07,3.58684e+07
1.7733e+07,3.58544e+07
1.77613e+07,3.58404e+07
1.77896e+07,3.58264e+07
1.78179e+07,3.58123e+07
1.78461e+07,3.57983e+07
1.78744e+07,3.57842e+07
1.79026e+07,3.57701e+07
1.79308e+07,3.57559e+07
1.7959e+07,3.57417e+07
1.79872e+07,3.57276e+07
1.80154e+07,3.57134e+07
1.80436e+07,3.56991e+07
1.80718e+07,3.56849e+07
1.80999e+07,3.56706e+07
1.81281e+07,3.56563e+07
1.81562e+07,3.5642e+07
1.81843e+07,3.56277e+07
1.82125e+07,3.56133e+07
1.82406e+07,3.55989e+07
1.82686e+07,3.55845e+07
1.82967e+07,3.55701e+07
1.83248e+07,3.55556e+07
1.83528e+07,3.55411e+07
1.83809e+07,3.55267e+07
1.84089e+07,3.55121e+07
1.84369e+07,3.54976e+07
1.84649e+07,3.5483e+07
1.84929e+07,3.54685e+07
1.85209e+07,3.54538e+07
1.85489e+07,3.54392e+07
1.85769e+07,3.54246e+07
1.86048e+07,3.54099e+07
1.86328e+07,3.53952e+07
1.86607e+07,3.53805e+07
1.86886e+07,3.53658e+07
1.87165e+07,3.5351e+07
1.87444e+07,3.53362e+07
1.87723e+07,3.53214e+07
1.88001e+07,3.53066e+07
1.8828e+07,3.52917e+07
1.88558e+07,3.52769e+07
1.88837e+07,3.5262e+07
1.89115e+07,3.52471e+07
1.89393e+07,3.52321e+07
1.89671e+07,3.52172e+07
1.89949e+07,3.52022e+07
1.90227e+07,3.51872e+07
1.90504e+07,3.51722e+07
1.90782e+07,3.51571e+07
1.91059e+07,3.5142e+07
1.91337e+07,3.5127e+07
1.91614e+07,3.51118e+07
1.91891e+07,3.50967e+07
1.92168e+07,3.50816e+07
1.92444e+07,3.50664e+07
1.92721e+07,3.50512e+07
1.92998e+07,3.5036e+07
1.93274e+07,3.50207e+07
1.9355e+07,3.50055e+07
1.93827e+07,3.49902e+07
1.94103e+07,3.49749e+07
1.94379e+07,3.49595e+07
1.94655e+07,3.49442e+07
1.9493e+07,3.49288e+07
1.95206e+07,3.49134e+07
1.95481e+07,3.4898e+07
1.95757e+07,3.48826e+07
1.96032e+07,3.48671e+07
1.96307e+07,3.48516e+07
1.96582e+07,3.48361e+07
1.96857e+07,3.48206e+07
1.97132e+07,3.4805e+07
1.97406e+07,3.47895e+07
1.97681e+07,3.47739e+07
1.97955e+07,3.47583e+07
1.98229e+07,3.47426e+07
1.98503e+07,3.4727e+07
1.98777e+07,3.47113e+07
1.99051e+07,3.46956e+07
1.99325e+07,3.46799e+07
1.99599e+07,3.46642e+07
1.99872e+07,3.46484e+07
2.00146e+07,3.46326e+07
2.00419e+07,3.46168e+07
2.00692e+07,3.4601e+07
2.00965e+07,3.45851e+07
2.01238e+07,3.45693e+07
2.01511e+07,3.45534e+07
2.01783e+07,3.45375e+07
2.02056e+07,3.45215e+07
2.02328e+07,3.45056e+07
2.026e+07,3.44896e+07
2.02872e+07,3.44736e+07
2.03144e+07,3.44576e+07
2.03416e+07,3.44415e+07
2.03688e+07,3.44255e+07
2.0396e+07,3.44094e+07
2.04231e+07,3.43933e+07
2.04503e+07,3.43771e+07
2.04774e+07,3.4361e+07
2.05045e+07,3.43448e+07
2.05316e+07,3.43286e+07
2.05587e+07,3.43124e+07
2.05857e+07,3.42962e+07
2.06128e+07,3.42799e+07
2.06398e+07,3.42636e+07
2.06669e+07,3.42473e+07
2.06939e+07,3.4231e+07
2.07209e+07,3.42147e+07
2.07479e+07,3.41983e+07
2.07749e+07,3.41819e+07
2.08019e+07,3.41655e+07
2.08288e+07,3.41491e+07
2.08558e+07,3.41326e+07
2.08827e+07,3.41162e+07
2.09096e+07,3.40997e+07
2.09365e+07,3.40832e+07
2.09634e+07,3.40666e+07
2.09903e+07,3.40501e+07
2.10171e+07,3.40335e+07
2.1044e+07,3.40169e+07
2.10708e+07,3.40003e+07
2.10977e+07,3.39837e+07
2.11245e+07,3.3967e+07
2.11513e+07,3.39503e+07
2.11781e+07,3.39336e+07
2.12048e+07,3.39169e+07
2.12316e+07,3.39001e+07
2.12583e+07,3.38834e+07
2.12851e+07,3.38666e+07
2.13118e+07,3.38498e+07
2.13385e+07,3.38329e+07
2.13652e+07,3.38161e+07
2.13919e+07,3.37992e+07
2.14185e+07,3.37823e+07
2.14452e+07,3.37654e+07
2.14718e+07,3.37485e+07
2.14985e+07,3.37315e+07
2.15251e+07,3.37146e+07
2.15517e+07,3.36976e+07
2.15783e+07,3.36805e+07
2.16048e+07,3.36635e+07
2.16314e+07,3.36464e+07
2.16579e+07,3.36294e+07
2.16845e+07,3.36123e+07
2.1711e+07,3.35951e+07
2.17375e+07,3.3578e+07
2.1764e+07,3.35608e+07
2.17905e+07,3.35436e+07
2.18169e+07,3.35264e+07
2.18434e+07,3.35092e+07
2.18698e+07,3.34919e+07
2.18963e+07,3.34747e+07
2.19227e+07,3.34574e+07
2.19491e+07,3.34401e+07
2.19754e+07,3.34227e+07
2.20018e+07,3.34054e+07
2.20282e+07,3.3388e+07
2.20545e+07,3.33706e+07
2.20808e+07,3.33532e+07
2.21072e+07,3.33358e+07
2.21335e+07,3.33183e+07
2.21597e+07,3.33008e+07
2.2186e+07,3.32833e+07
2.22123e+07,3.32658e+07
2.22385e+07,3.32483e+07
2.22648e+07,3.32307e+07
2.2291e+07,3.32131e+07
2.23172e+07,3.31955e+07
2.23434e+07,3.31779e+07
2.23695e+07,3.31603e+07
2.23957e+07,3.31426e+07
2.24219e+07,3.31249e+07
2.2448e+07,3.31072e+07
2.24741e+07,3.30895e+07
2.25002e+07,3.30717e+07
2.25263e+07,3.3054e+07
2.25524e+07,3.30362e+07
2.25785e+07,3.30184e+07
2.26045e+07,3.30005e+07
2.26305e+07,3.29827e+07
2.26566e+07,3.29648e+07
2.26826e+07,3.29469e+07
2.27086e+07,3.2929e+07
2.27346e+07,3.29111e+07
2.27605e+07,3.28931e+07
2.27865e+07,3.28752e+07
2.28124e+07,3.28572e+07
2.28383e+07,3.28392e+07
2.28642e+07,3.28211e+07
2.28901e+07,3.28031e+07
2.2916e+07,3.2785e+07
2.29419e+07,3.27669e+07
2.29677e+07,3.27488e+07
2.29936e+07,3.27307e+07
2.30194e+07,3.27125e+07
2.30452e+07,3.26943e+07
2.3071e+07,3.26761e+07
2.30968e+07,3.26579e+07
2.31225e+07,3.26397e+07
2.31483e+07,3.26214e+07
2.3174e+07,3.26031e+07
2.31998e+07,3.25848e+07
2.32255e+07,3.25665e+07
2.32512e+07,3.25482e+07
2.32768e+07,3.25298e+07
2.33025e+07,3.25114e+07
2.33282e+07,3.2493e+07
2.33538e+07,3.24746e+07
2.33794e+07,3.24562e+07
2.3405e+07,3.24377e+07
2.34306e+07,3.24192e+07
2.34562e+07,3.24007e+07
2.34817e+07,3.23822e+07
2.35073e+07,3.23637e+07
2.35328e+07,3.23451e+07
2.35583e+07,3.23265e+07
2.35839e+07,3.23079e+07
2.36093e+07,3.22893e+07
2.36348e+07,3.22707e+07
2.36603e+07,3.2252e+07
2.36857e+07,3.22333e+07
2.37112e+07,3.22146e+07
2.37366e+07,3.21959e+07
2.3762e+07,3.21771e+07
2.37874e+07,3.21584e+07
2.38127e+07,3.21396e+07
2.38381e+07,3.21208e+07
2.38634e+07,3.2102e+07
2.38888e+07,3.20831e+07
2.39141e+07,3.20643e+07
2.39394e+07,3.20454e+07
2.39646e+07,3.20265e+07
2.39899e+07,3.20076e+07
2.40152e+07,3.19886e+07
2.40404e+07,3.19697e+07
2.40656e+07,3.19507e+07
2.40908e+07,3.19317e+07
2.4116e+07,3.19127e+07
2.41412e+07,3.18936e+07
2.41664e+07,3.18745e+07
2.41915e+07,3.18555e+07
2.42166e+07,3.18364e+07
2.42418e+07,3.18172e+07
2.42669e+07,3.17981e+07
2.4292e+07,3.17789e+07
2.4317e+07,3.17598e+07
2.43421e+07,3.17406e+07
2.43671e+07,3.17213e+07
2.43921e+07,3.17021e+07
2.44172e+07,3.16828e+07
2.44422e+07,3.16636e+07
2.44671e+07,3.16443e+07
2.44921e+07,3.16249e+07
2.45171e+07,3.16056e+07
2.4542e+07,3.15862e+07
2.45669e+07,3.15669e+07
2.45918e+07,3.15475e+07
2.46167e+07,3.15281e+07
2.46416e+07,3.15086e+07
2.46664e+07,3.14892e+07
2.46913e+07,3.14697e+07
2.47161e+07,3.14502e+07
2.47409e+07,3.14307e+07
2.47657e+07,3.14111e+07
2.47905e+07,3.13916e+07
2.48153e+07,3.1372e+07
2.484e+07,3.13524e+07
2.48647e+07,3.13328e+07
2.48895e+07,3.13132e+07
2.49142e+07,3.12935e+07
2.49389e+07,3.12738e+07
2.49635e+07,3.12542e+07
2.49882e+07,3.12344e+07
2.50128e+07,3.12147e+07
2.50375e+07,3.1195e+07
2.50621e+07,3.11752e+07
2.50867e+07,3.11554e+07
2.51112e+07,3.11356e+07
2.51358e+07,3.11158e+07
2.51604e+07,3.10959e+07
2.51849e+07,3.10761e+07
2.52094e+07,3.10562e+07
2.52339e+07,3.10363e+07
2.52584e+07,3.10163e+07
2.52829e+07,3.09964e+07
2.53073e+07,3.09764e+07
2.53318e+07,3.09565e+07
2.53562e+07,3.09365e+07
2.53806e+07,3.09164e+07
2.5405e+07,3.08964e+07
2.54293e+07,3.08763e+07
2.54537e+07,3.08563e+07
2.5478e+07,3.08362e+07
2.55024e+07,3.0816e+07
2.55267e+07,3.07959e+07
2.5551e+07,3.07758e+07
2.55753e+07,3.07556e+07
2.55995e+07,3.07354e+07
2.56238e+07,3.07152e+07
2.5648e+07,3.06949e+07
2.56722e+07,3.06747e+07
2.56964e+07,3.06544e+07
